# Time, Flux
2.459424352313222829e+06,1.000173237757252087e+00
2.459424353702113498e+06,9.999946214445242232e-01
2.459424355091004167e+06,9.998999111375072024e-01
2.459424356479895301e+06,9.996940403038170331e-01
2.459424357868785970e+06,1.000077903121813661e+00
2.459424359257676639e+06,1.000160429167791243e+00
2.459424360646567307e+06,9.997713570223122348e-01
2.459424362035458442e+06,9.998231755699605872e-01
2.459424363424348645e+06,9.997261457731059231e-01
2.459424364813239779e+06,9.996247624574003954e-01
2.459424366202130448e+06,1.000000000000000000e+00
2.459424367591021582e+06,1.000056955263459502e+00
2.459424368979911786e+06,1.000206113372732242e+00
2.459424370368802920e+06,9.997442037152307615e-01
2.459424371757693589e+06,9.998373469043394524e-01
2.459424373146584257e+06,1.000176855702448186e+00
2.459424374535474926e+06,9.997273435688155407e-01
2.459424375924366061e+06,9.997708871879172898e-01
2.459424377313256729e+06,1.000214388588084757e+00
2.459424378702147398e+06,1.000073672172433703e+00
2.459424380091038067e+06,1.000529797263213228e+00
2.459424381479929201e+06,9.997356084370497831e-01
2.459424382868819404e+06,1.000252520190877403e+00
2.459424384257710539e+06,9.999550796825583676e-01
2.459424385646601208e+06,1.000403686305614714e+00
2.459424387035492342e+06,9.998088756159645429e-01
2.459424388424382545e+06,1.000162679555993916e+00
2.459424389813273679e+06,9.993595403198480831e-01
2.459424391202164348e+06,9.999488733341327373e-01
2.459424392591055017e+06,9.999056811449986704e-01
2.459424393979945686e+06,1.000100762051042924e+00
2.459424395368836820e+06,9.996843504961113736e-01
2.459424396757727489e+06,9.998252625387104020e-01
2.459424398146618158e+06,9.999863383821661067e-01
2.459424399535508826e+06,9.998658894458931634e-01
2.459424400924399961e+06,9.996792800983635985e-01
2.459424402313290164e+06,1.000179032817115177e+00
2.459424403702181298e+06,1.000206773656821424e+00
2.459424405091071967e+06,1.000330265668782248e+00
2.459424406479962636e+06,1.000492481205025985e+00
2.459424407868853305e+06,1.000221699421523169e+00
